Pokemon,Pokeball,Probability
jolteon,pokeball,0.058
jolteon,ultraball,0.103
jolteon,heavyball,0.036
jolteon,fastball,0.224
caterpie,pokeball,0.304
caterpie,ultraball,0.661
caterpie,heavyball,0.303
caterpie,fastball,0.351
snorlax,pokeball,0.024
snorlax,ultraball,0.065
snorlax,heavyball,0.067
snorlax,fastball,0.03
onix,pokeball,0.056
onix,ultraball,0.109
onix,heavyball,0.086
onix,fastball,0.053
mewtwo,pokeball,0.007
mewtwo,ultraball,0.008
mewtwo,heavyball,0.0
mewtwo,fastball,0.012
